commit	score	score_std	mean_rank	p_top3	n_sims	status	description
a42634f	1892.2	118.1	4.76	0.426	2700	discard	auto 64 confirmed: {"need_bonus": 38.637, "flex_bonus": 12.019, "depth_quota_wr": 6, "depth_quota_te": 4, "depth_quota_qb": 4, "surplus_penalty": 28.006, "bench_bonus": 9.005, "wait_discount": 0.324, "wait_margin": 3.8, "injury_penalty": 79.674, "rb_early_bonus": 7.133
a42634f	1866.9	118.0	5.4	0.347	300	discard	auto 65 screen: {"need_bonus": 45.096, "flex_bonus": 10.688, "depth_quota_rb": 4, "depth_quota_wr": 6, "depth_quota_qb": 2, "surplus_penalty": 27.956, "bench_bonus": 7.204, "wait_discount": 0.31, "wait_margin": 4.065, "kdef_rounds_from_end": 1, "injury_penalty": 50.
a42634f	1876.5	118.9	5.34	0.333	300	discard	auto 66 screen: {"need_bonus": 37.766, "flex_bonus": 12.212, "depth_quota_rb": 2, "depth_quota_te": 2, "depth_quota_qb": 2, "surplus_penalty": 25.794, "bench_bonus": 8.866, "wait_discount": 0.325, "wait_margin": 3.637, "injury_penalty": 102.667, "rb_early_bonus": 5.
a42634f	1847.5	114.9	5.99	0.277	300	discard	auto 67 screen: {"need_bonus": 38.545, "flex_bonus": 11.685, "depth_quota_rb": 2, "surplus_penalty": 38.085, "bench_bonus": 8.598, "wait_discount": 0.329, "wait_margin": 3.527, "kdef_rounds_from_end": 1, "injury_penalty": 76.393, "rb_early_bonus": 7.382, "qb_earlies
a42634f	1829.6	124.6	6.34	0.197	300	discard	auto 68 screen: {"need_bonus": 30.552, "flex_bonus": 8.126, "depth_quota_wr": 6, "surplus_penalty": 18.169, "bench_bonus": 14.15, "wait_discount": 0.301, "wait_margin": 4.071, "kdef_rounds_from_end": 1, "injury_penalty": 114.36, "rb_early_bonus": 4.363, "te_earliest
a42634f	1820.5	122.3	6.63	0.243	300	discard	auto 69 screen: {"need_bonus": 76.567, "flex_bonus": 1.698, "depth_quota_rb": 2, "depth_quota_wr": 4, "depth_quota_te": 4, "depth_quota_qb": 4, "surplus_penalty": 45.458, "bench_bonus": 2.781, "wait_discount": 0.255, "wait_margin": 0.421, "kdef_rounds_from_end": 1, 
a42634f	1819.1	112.3	6.63	0.21	300	discard	auto 70 screen: {"need_bonus": 63.349, "flex_bonus": 7.582, "depth_quota_rb": 2, "depth_quota_wr": 6, "depth_quota_qb": 2, "surplus_penalty": 21.442, "bench_bonus": 1.909, "wait_discount": 0.256, "wait_margin": 6.341, "kdef_rounds_from_end": 1, "injury_penalty": -25
a42634f	1857.2	118.5	5.63	0.303	300	discard	auto 71 screen: {"need_bonus": 38.036, "flex_bonus": 16.378, "depth_quota_rb": 2, "surplus_penalty": 38.523, "bench_bonus": 13.17, "wait_discount": 0.315, "wait_margin": 3.633, "injury_penalty": 79.882, "rb_early_bonus": 6.467, "qb_earliest_round": 5, "te_earliest_r
a42634f	1864.6	119.6	5.53	0.333	300	discard	auto 72 screen: {"need_bonus": 65.18, "flex_bonus": 12.084, "depth_quota_rb": 2, "depth_quota_wr": 6, "depth_quota_te": 4, "depth_quota_qb": 2, "surplus_penalty": 25.524, "bench_bonus": 5.308, "wait_discount": 0.414, "wait_margin": 4.191, "kdef_rounds_from_end": 3, 
a42634f	1871.7	115.6	5.25	0.367	300	discard	auto 73 screen: {"need_bonus": 38.863, "flex_bonus": 9.496, "depth_quota_wr": 4, "depth_quota_te": 4, "depth_quota_qb": 4, "surplus_penalty": 24.24, "bench_bonus": 8.483, "wait_discount": 0.329, "wait_margin": 4.995, "injury_penalty": 63.338, "rb_early_bonus": 6.531
a42634f	1889.2	118.9	4.84	0.41	2700	discard	auto 74 confirmed: {"need_bonus": 61.733, "flex_bonus": 10.508, "depth_quota_rb": 4, "depth_quota_wr": 6, "depth_quota_te": 2, "depth_quota_qb": 2, "surplus_penalty": 46.599, "bench_bonus": 5.093, "wait_discount": 0.267, "wait_margin": 4.877, "injury_penalty": 85.203, 
